file_name,class_name,method_name,comments,attributes
"['androidhttpclient', 'android', 'http', 'client']","['androidhttpclient', 'android', 'http', 'client']","['process', 'newinstance', 'androidhttpclient', 'createhttpprocessor', 'createhttpcontext', 'close', 'getparams', 'getconnectionmanager', 'execute', 'execute', 'execute', 'execute', 'execute', 'execute', 'execute', 'execute', 'instance', 'android', 'http', 'client', 'create', 'http', 'processor', 'create', 'http', 'context', 'get', 'params', 'get', 'connection', 'manager']","['subclass', 'apache', 'link', 'defaulthttpclient', 'configured', 'reasonable', 'settings', 'registered', 'schemes', 'android', 'also', 'lets', 'user', 'add', 'link', 'httprequestinterceptor', 'classes', 'create', 'directly', 'use', 'link', 'newinstance', 'factory', 'method', 'client', 'processes', 'cookies', 'retain', 'retain', 'cookies', 'simply', 'add', 'cookie', 'store', 'httpcontext', 'pre', 'context', 'setattribute', 'clientcontext', 'cookiestore', 'pre', 'set', 'http', 'requests', 'blocked', 'executed', 'thread', 'interceptor', 'exception', 'executing', 'thread', 'blocked', 'create', 'httpclient', 'reasonable', 'defaults', 'update', 'param', 'useragent', 'report', 'http', 'requests', 'androidhttpclient', 'use', 'requests', 'turn', 'stale', 'checking', 'connections', 'time', 'anyway', 'worth', 'pay', 'penalty', 'checking', 'every', 'time', 'connection', 'socket', 'timeout', 'seconds', 'tweak', 'taste', 'handle', 'redirects', 'caller', 'code', 'often', 'wants', 'post', 'redirect', 'must', 'set', 'specified', 'user', 'agent', 'register', 'standard', 'protocols', 'use', 'factory', 'method', 'modify', 'superclass', 'initialization', 'parameters', 'without', 'funny', 'call', 'method', 'dance', 'add', 'interceptor', 'prevent', 'making', 'requests', 'main', 'thread', 'defaulthttpclient', 'createhttpcontext', 'minus', 'cookie', 'store', 'release', 'resources', 'associated', 'client', 'must', 'call', 'significant', 'resources', 'sockets', 'memory', 'may', 'leaked', 'http', 'client', 'http', 'request', 'interceptor', 'instance', 'http', 'context', 'set', 'attribute', 'client', 'context', 'cookie', 'store', 'cookie', 'store', 'http', 'client', 'user', 'agent', 'android', 'http', 'client', 'http', 'client', 'create', 'http', 'context']","['sthreadblocked', 'sthreadcheckinterceptor', 'delegate', 'thread', 'blocked', 'thread', 'check', 'interceptor']"
"['captureactivity', 'capture', 'activity']","['captureactivity', 'capture', 'activity']","['oncompletion', 'onclick', 'getviewfinderview', 'gethandler', 'oncreate', 'onresume', 'onpause', 'ondestroy', 'onkeydown', 'oncreateoptionsmenu', 'onprepareoptionsmenu', 'onoptionsitemselected', 'onconfigurationchanged', 'surfacecreated', 'surfacedestroyed', 'surfacechanged', 'handledecode', 'drawresultpoints', 'drawline', 'handledecodeinternally', 'handledecodeexternally', 'showhelponfirstlaunch', 'initbeepsound', 'playbeepsoundandvibrate', 'initcamera', 'displayframeworkbugmessageandexit', 'resetstatusview', 'drawviewfinder', 'completion', 'click', 'get', 'viewfinder', 'view', 'get', 'handler', 'create', 'resume', 'pause', 'destroy', 'key', 'create', 'options', 'menu', 'prepare', 'options', 'menu', 'options', 'item', 'selected', 'configuration', 'changed', 'surface', 'created', 'surface', 'destroyed', 'surface', 'changed', 'handle', 'decode', 'draw', 'result', 'points', 'draw', 'line', 'handle', 'decode', 'internally', 'handle', 'decode', 'externally', 'show', 'help', 'first', 'launch', 'init', 'beep', 'sound', 'play', 'beep', 'sound', 'vibrate', 'init', 'camera', 'display', 'framework', 'bug', 'message', 'exit', 'reset', 'status', 'view', 'draw', 'viewfinder']","['barcode', 'reader', 'activity', 'loosely', 'based', 'camerapreview', 'example', 'included', 'android', 'sdk', 'author', 'dswitkin', 'google', 'com', 'daniel', 'switkin', 'author', 'sean', 'owen', 'beep', 'finished', 'playing', 'rewind', 'queue', 'another', 'one', 'activity', 'paused', 'stopped', 'surface', 'still', 'exists', 'therefore', 'surfacecreated', 'called', 'init', 'camera', 'install', 'callback', 'wait', 'surfacecreated', 'init', 'camera', 'scan', 'formats', 'intent', 'requested', 'result', 'calling', 'activity', 'scan', 'products', 'send', 'result', 'mobile', 'product', 'search', 'scan', 'formats', 'requested', 'query', 'string', 'formats', 'none', 'specified', 'url', 'specified', 'send', 'results', 'otherwise', 'handle', 'scan', 'formats', 'handle', 'results', 'launched', 'home', 'see', 'sound', 'settings', 'overrides', 'handle', 'events', 'launch', 'camera', 'app', 'display', 'share', 'menu', 'item', 'result', 'overlay', 'showing', 'nothing', 'prevent', 'activity', 'restarted', 'keyboard', 'opens', 'valid', 'barcode', 'found', 'give', 'indication', 'success', 'show', 'results', 'param', 'rawresult', 'contents', 'barcode', 'param', 'barcode', 'greyscale', 'bitmap', 'camera', 'data', 'decoded', 'history', 'saved', 'barcode', 'wait', 'moment', 'scan', 'barcode', 'continuously', 'times', 'superimpose', 'line', 'dots', 'highlight', 'key', 'features', 'barcode', 'param', 'barcode', 'bitmap', 'captured', 'image', 'param', 'rawresult', 'decoded', 'results', 'contains', 'points', 'draw', 'hacky', 'special', 'draw', 'two', 'lines', 'barcode', 'metadata', 'put', 'ui', 'handle', 'decoded', 'contents', 'crudely', 'scale', 'betweeen', 'bigger', 'font', 'shorter', 'text', 'briefly', 'show', 'contents', 'barcode', 'handle', 'result', 'outside', 'barcode', 'scanner', 'since', 'message', 'shown', 'second', 'tell', 'user', 'kind', 'barcode', 'found', 'contact', 'info', 'rather', 'full', 'contents', 'time', 'read', 'hand', 'back', 'whatever', 'action', 'requested', 'changed', 'intents', 'scan', 'action', 'deprecated', 'intent', 'retired', 'reformulate', 'url', 'triggered', 'query', 'request', 'goes', 'tld', 'scan', 'url', 'replace', 'occurrence', 'returnurltemplate', 'scanned', 'code', 'allows', 'queries', 'rest', 'style', 'urls', 'work', 'want', 'help', 'screen', 'shown', 'automatically', 'first', 'time', 'version', 'app', 'run', 'easiest', 'way', 'check', 'android', 'versioncode', 'manifest', 'compare', 'value', 'stored', 'preference', 'since', 'paying', 'talk', 'packagemanager', 'anyway', 'makes', 'sense', 'cache', 'app', 'version', 'name', 'display', 'box', 'later', 'show', 'page', 'clean', 'install', 'page', 'upgrade', 'creates', 'beep', 'mediaplayer', 'advance', 'sound', 'triggered', 'least', 'latency', 'possible', 'volume', 'adjustable', 'users', 'found', 'loud', 'play', 'music', 'stream', 'barcode', 'scanner', 'seen', 'crashes', 'wild', 'variety', 'java', 'lang', 'runtimeexception', 'fail', 'connect', 'camera', 'service', 'camera', 'preview', 'surface', 'created', 'surface', 'created', 'raw', 'result', 'raw', 'result', 'code', 'placeholder', 'url', 'template', 'ur', 'ls', 'version', 'code', 'manager', 'media', 'player', 'stream', 'system', 'runtime', 'exception']","['tag', 'handler', 'viewfinderview', 'statusview', 'resultview', 'mediaplayer', 'lastresult', 'hassurface', 'playbeep', 'vibrate', 'copytoclipboard', 'source', 'sourceurl', 'returnurltemplate', 'decodeformats', 'characterset', 'versionname', 'historymanager', 'inactivitytimer', 'beeplistener', 'aboutlistener', 'share', 'id', 'history', 'id', 'settings', 'id', 'help', 'id', 'id', 'intent', 'result', 'duration', 'bulk', 'mode', 'scan', 'delay', 'ms', 'beep', 'volume', 'vibrate', 'duration', 'name', 'product', 'search', 'url', 'prefix', 'product', 'search', 'url', 'suffix', 'zxing', 'url', 'code', 'placeholder', 'url', 'param', 'displayable', 'metadata', 'types', 'viewfinder', 'view', 'status', 'view', 'result', 'view', 'media', 'player', 'last', 'result', 'surface', 'play', 'beep', 'copy', 'clipboard', 'source', 'url', 'url', 'template', 'decode', 'formats', 'character', 'set', 'version', 'name', 'history', 'manager', 'inactivity', 'timer', 'beep', 'listener', 'listener']"
"['captureactivityhandler', 'capture', 'activity', 'handler']","['captureactivityhandler', 'capture', 'activity', 'handler']","['handlemessage', 'quitsynchronously', 'restartpreviewanddecode', 'handle', 'message', 'quit', 'synchronously', 'restart', 'preview', 'decode']","['handles', 'messaging', 'comprises', 'state', 'machine', 'capture', 'author', 'dswitkin', 'google', 'com', 'daniel', 'switkin', 'start', 'capturing', 'previews', 'decoding', 'log', 'tag', 'got', 'auto', 'focus', 'message', 'one', 'auto', 'focus', 'pass', 'finishes', 'start', 'another', 'closest', 'thing', 'continuous', 'af', 'seem', 'hunt', 'bit', 'sure', 'decoding', 'fast', 'possible', 'one', 'decode', 'fails', 'start', 'another', 'absolutely', 'sure', 'send', 'queued', 'messages']","['tag', 'activity', 'decodethread', 'state', 'decode', 'thread']"
['contents'],"['contents', 'type']","['contents', 'type']","['set', 'constants', 'use', 'sending', 'barcode', 'scanner', 'intent', 'requests', 'barcode', 'encoded', 'author', 'dswitkin', 'google', 'com', 'daniel', 'switkin', 'plain', 'text', 'use', 'intent', 'putextra', 'data', 'string', 'used', 'urls', 'string', 'must', 'include', 'http', 'https', 'email', 'type', 'use', 'intent', 'putextra', 'data', 'string', 'string', 'email', 'address', 'use', 'intent', 'putextra', 'data', 'string', 'string', 'phone', 'number', 'call', 'sms', 'type', 'use', 'intent', 'putextra', 'data', 'string', 'string', 'number', 'sms', 'contact', 'send', 'request', 'encode', 'follows', 'android', 'provider', 'contacts', 'intent', 'intent', 'intent', 'intents', 'encode', 'action', 'intent', 'putextra', 'intents', 'encode', 'type', 'contact', 'bundle', 'bundle', 'bundle', 'bundle', 'putstring', 'contacts', 'intents', 'insert', 'name', 'jenny', 'bundle', 'putstring', 'contacts', 'intents', 'insert', 'phone', 'bundle', 'putstring', 'contacts', 'intents', 'insert', 'email', 'jenny', 'thes', 'com', 'bundle', 'putstring', 'contacts', 'intents', 'insert', 'postal', 'fake', 'st', 'san', 'francisco', 'ca', 'intent', 'putextra', 'intents', 'encode', 'data', 'bundle', 'geographic', 'location', 'use', 'follows', 'bundle', 'bundle', 'bundle', 'bundle', 'putfloat', 'lat', 'latitude', 'bundle', 'putfloat', 'longitude', 'intent', 'putextra', 'intents', 'encode', 'data', 'bundle', 'using', 'type', 'contact', 'arrays', 'provide', 'keys', 'adding', 'retrieving', 'multiple', 'phone', 'numbers', 'addresses', 'put', 'extra', 'ur', 'ls', 'put', 'extra', 'put', 'extra', 'put', 'extra', 'put', 'extra', 'put', 'string', 'put', 'string', 'put', 'string', 'put', 'string', 'put', 'extra', 'put', 'put', 'put', 'extra']","['text', 'email', 'phone', 'sms', 'contact', 'location', 'phone', 'keys', 'email', 'keys']"
"['decodeformatmanager', 'decode', 'format', 'manager']","['decodeformatmanager', 'decode', 'format', 'manager']","['decodeformatmanager', 'parsedecodeformats', 'parsedecodeformats', 'parsedecodeformats', 'decode', 'format', 'manager', 'parse', 'decode', 'formats', 'parse', 'decode', 'formats', 'parse', 'decode', 'formats']",['ignore'],"['comma', 'pattern', 'product', 'formats', 'one', 'formats', 'qr', 'code', 'formats', 'data', 'matrix', 'formats']"
"['decodehandler', 'decode', 'handler']","['decodehandler', 'decode', 'handler']","['handlemessage', 'decode', 'handle', 'message']","['log', 'tag', 'got', 'decode', 'message', 'decode', 'data', 'within', 'viewfinder', 'rectangle', 'time', 'took', 'efficiency', 'reuse', 'reader', 'objects', 'one', 'decode', 'next', 'param', 'data', 'yuv', 'preview', 'frame', 'param', 'width', 'width', 'preview', 'frame', 'param', 'height', 'height', 'preview', 'frame', 'log', 'tag', 'sending', 'decode', 'succeeded', 'message']","['tag', 'activity', 'multiformatreader', 'multi', 'format', 'reader']"
"['decodethread', 'decode', 'thread']","['decodethread', 'decode', 'thread']","['gethandler', 'run', 'get', 'handler']","['thread', 'heavy', 'lifting', 'decoding', 'images', 'author', 'dswitkin', 'google', 'com', 'daniel', 'switkin', 'prefs', 'change', 'thread', 'running', 'pick']","['activity', 'hints', 'handler', 'handlerinitlatch', 'barcode', 'bitmap', 'handler', 'init', 'latch']"
"['finishlistener', 'finish', 'listener']","['finishlistener', 'finish', 'listener']","['finishlistener', 'oncancel', 'onclick', 'run', 'finish', 'listener', 'cancel', 'click']","['simple', 'listener', 'used', 'exit', 'app', 'cases', 'author', 'sean', 'owen']","['activitytofinish', 'activity', 'finish']"
"['helpactivity', 'help', 'activity']","['helpactivity', 'helpclient', 'help', 'activity', 'help', 'client']","['onclick', 'onclick', 'onclick', 'oncreate', 'checkbuggydevice', 'onsaveinstancestate', 'onkeydown', 'onpagefinished', 'shouldoverrideurlloading', 'click', 'click', 'click', 'create', 'check', 'buggy', 'device', 'save', 'instance', 'state', 'key', 'page', 'finished', 'override', 'url', 'loading']","['html', 'based', 'help', 'screen', 'back', 'done', 'buttons', 'bottom', 'author', 'dswitkin', 'google', 'com', 'daniel', 'switkin', 'actually', 'guessing', 'desire', 'model', 'camera', 'come', 'support', 'yuv', 'aka', 'evo', 'use', 'key', 'one', 'values', 'launching', 'activity', 'via', 'intent', 'present', 'page', 'loaded', 'froyo', 'bug', 'calling', 'oncreate', 'twice', 'row', 'causes', 'page', 'auto', 'loaded', 'first', 'run', 'appear', 'blank', 'workaround', 'call', 'restorestate', 'valid', 'url', 'loaded', 'time', 'previous', 'activity', 'torn', 'keep', 'local', 'assets', 'webview', 'open', 'external', 'urls', 'browser', 'create', 'restore', 'state', 'web', 'view', 'ur', 'ls']","['tag', 'initialized', 'webview', 'backbutton', 'backlistener', 'donelistener', 'groupslistener', 'buggy', 'model', 'substrings', 'buggy', 'uri', 'requested', 'page', 'key', 'page', 'whats', 'page', 'base', 'url', 'webview', 'state', 'present', 'web', 'view', 'back', 'button', 'back', 'listener', 'done', 'listener', 'groups', 'listener']"
"['inactivitytimer', 'inactivity', 'timer']","['inactivitytimer', 'daemonthreadfactory', 'inactivity', 'timer', 'daemon', 'thread', 'factory']","['onactivity', 'cancel', 'shutdown', 'newthread', 'activity', 'thread']","['finishes', 'activity', 'period', 'inactivity']","['inactivitytimer', 'activity', 'inactivityfuture', 'inactivity', 'delay', 'seconds', 'inactivity', 'timer', 'inactivity', 'future']"
